site,date_start,date_end,d18O,d2H,dxs,precip_amt,air_temp,vapor_pres,type,qc_flag
THULE (GREENLAND),01/01/1966,31/01/1966,-0.033,-0.233,0.031,17,-27.6,,GNIP,0
THULE (GREENLAND),01/02/1966,28/02/1966,-0.0353,-0.263,0.019,17,-20.1,,GNIP,0
THULE (GREENLAND),01/03/1966,31/03/1966,-0.0396,-0.305,0.011,4,-26.4,,GNIP,0
THULE (GREENLAND),01/04/1966,30/04/1966,-0.0288,-0.219,0.012,4,-21.4,,GNIP,0
THULE (GREENLAND),01/05/1966,31/05/1966,-0.0243,-0.196,-0.002,6,-7.8,,GNIP,0
THULE (GREENLAND),01/06/1966,30/06/1966,-0.0228,-0.173,0.009,9,0.9,,GNIP,0
THULE (GREENLAND),01/07/1966,31/07/1966,-0.0147,-0.103,0.014,4,3.1,,GNIP,0
THULE (GREENLAND),01/08/1966,31/08/1966,-0.0179,-0.135,0.009,117,4.9,,GNIP,0
THULE (GREENLAND),01/09/1966,30/09/1966,-0.014,-0.103,0.008,10,-3.1,,GNIP,0
THULE (GREENLAND),01/10/1966,31/10/1966,-0.0209,-0.165,0.002,19,-8.7,,GNIP,0
THULE (GREENLAND),01/11/1966,30/11/1966,,,,1,-15.9,,GNIP,0
THULE (GREENLAND),01/12/1966,31/12/1966,-0.036,-0.257,0.031,7,-24.2,,GNIP,0
THULE (GREENLAND),01/01/1967,31/01/1967,-0.024,-0.173,0.019,5,-21,0.4,GNIP,0
THULE (GREENLAND),01/02/1967,28/02/1967,-0.0287,-0.204,0.025,6,-25,0.3,GNIP,0
THULE (GREENLAND),01/03/1967,31/03/1967,-0.0282,-0.222,0.004,1,-19,0.5,GNIP,0
THULE (GREENLAND),01/04/1967,30/04/1967,-0.0244,-0.189,0.006,5,-19,0.6,GNIP,0
THULE (GREENLAND),01/05/1967,31/05/1967,-0.0173,-0.115,0.024,8,-1,3.5,GNIP,0
THULE (GREENLAND),01/06/1967,30/06/1967,-0.0188,-0.132,0.019,11,4,5.3,GNIP,0
THULE (GREENLAND),01/07/1967,31/07/1967,-0.02,-0.15,0.01,21,4,5.2,GNIP,0
THULE (GREENLAND),01/08/1967,31/08/1967,-0.0201,-0.15,0.011,2,3,4.3,GNIP,0
THULE (GREENLAND),01/09/1967,30/09/1967,,,,3,5,4.8,GNIP,0
THULE (GREENLAND),01/10/1967,31/10/1967,-0.0173,-0.165,-0.027,6,-12.1,1.2,GNIP,1
THULE (GREENLAND),01/11/1967,30/11/1967,,-0.228,,24,-20.5,0.5,GNIP,0
THULE (GREENLAND),01/12/1967,31/12/1967,-0.0277,-0.208,0.013,35,-18.6,0.6,GNIP,0
THULE (GREENLAND),01/01/1968,31/01/1968,-0.038,-0.296,0.009,1,-28,0.2,GNIP,0
THULE (GREENLAND),01/02/1968,29/02/1968,-0.0254,-0.198,0.005,10,-27,0.2,GNIP,0
THULE (GREENLAND),01/03/1968,31/03/1968,-0.0317,-0.243,0.01,6,-28,0.2,GNIP,0
THULE (GREENLAND),01/04/1968,30/04/1968,-0.0219,-0.177,-0.002,7,-13,0.9,GNIP,0
THULE (GREENLAND),01/05/1968,31/05/1968,-0.0203,-0.166,-0.003,8,-7,2.4,GNIP,0
THULE (GREENLAND),01/06/1968,30/06/1968,-0.0157,-0.126,-0.001,6,,5.1,GNIP,0
THULE (GREENLAND),01/07/1968,31/07/1968,-0.0192,-0.156,-0.002,8,4.4,5.7,GNIP,0
THULE (GREENLAND),01/08/1968,31/08/1968,,,,10,3,5.2,GNIP,0
THULE (GREENLAND),01/09/1968,30/09/1968,-0.02,-0.155,0.005,11,-4,3.1,GNIP,0
