sample_id,date,latitude,longitude,elevation,d18O,d2H,dxs,site_name,type,type_number,laketype,laketype_number,lake_surface_area,basin_name,alt_basin_name,lakeshed_area,dist_gris,dist_ocean,timing,main_lakes,qc_flag
2018_099_AngryDuckLake_1,05/07/2018,76.5662,-68.4312,74,-0.0095,-0.1,-0.024,Angry Duck Lake,lake,1,endorheic,1,7808,Amitsuarsuk,Potato,110403,7123,997,1,1,0
2018_258_AngryDuckLake_1,23/08/2018,76.5662,-68.4312,74,-0.0099,-0.102,-0.023,Angry Duck Lake,lake,1,endorheic,1,7808,Amitsuarsuk,Potato,110403,7123,997,2,1,0
2019_137_AngryDuckLake_26072019,26/07/2019,76.5662,-68.4312,74,-0.0047,-0.08,-0.042,Angry Duck Lake,lake,1,endorheic,1,7808,Amitsuarsuk,Potato,110403,7123,997,3,1,0
2019_085_BigWindyValeLake_24072019,24/07/2019,76.4894,-68.8332,211,-0.0186,-0.148,0.001,Big Windy Vale Lake,lake,1,vale,4,3368,Ice Cave,Ice Cave,317690,13361,3339,3,0,0
2018_119_BlackshoreLake_1,06/07/2018,76.5405,-68.4088,159,-0.0195,-0.154,0.002,Blackshore Lake,lake,1,downstream,3,12392,Pituffik,North River,12333333,4474,3617,1,1,0
2019_092_Blackshorelake_23072019,23/07/2019,76.5405,-68.4088,159,-0.019,-0.155,-0.003,Blackshore Lake,lake,1,downstream,3,12392,Pituffik,North River,12333333,4474,3617,3,1,0
2018_118_BMEWSBacksideLake_1,06/07/2018,76.5451,-68.39,171,-0.0203,-0.159,0.003,BMEWS Backside Lake,lake,1,headwater,2,15069,Pituffik,North River,8278389,4589,3105,1,1,0
2019_090_BMEWSBacksideLake_23072019,23/07/2019,76.5451,-68.39,171,-0.0203,-0.166,-0.004,BMEWS Backside Lake,lake,1,headwater,2,15069,Pituffik,North River,8278389,4589,3105,3,1,0
2018_095_BMEWSBowlPond_1,05/07/2018,76.5578,-68.4561,80,-0.0172,-0.145,-0.007,BMEWS Bowl Pond,lake,1,headwater,2,3498,Amitsuarsuk,Potato,730898,6740,2066,1,1,0
2019_130_BMEWSBowlLake_26072019,26/07/2019,76.5578,-68.4561,80,-0.0138,-0.13,-0.02,BMEWS Bowl Pond,lake,1,headwater,2,3498,Amitsuarsuk,Potato,730898,6740,2066,3,1,0
2018_154_CableAccessLake_1,12/07/2018,76.5395,-68.6521,83,-0.0182,-0.146,0,Cable Access Lake,lake,1,headwater,2,18146,Pituffik,North River,817244,9547,3538,1,1,0
2019_062_CableAccessLake_22072019,22/07/2019,76.5395,-68.6521,83,-0.0158,-0.136,-0.01,Cable Access Lake,lake,1,headwater,2,18146,Pituffik,North River,817244,9547,3538,3,1,0
2018_060_CarexPond_1,29/06/2018,76.5593,-68.5285,180,-0.0175,-0.144,-0.004,Carex Pond,lake,1,headwater,2,1910,Raven,Raven,37389,8133,2401,1,1,0
2019_033_CarexPond_19072019,19/07/2019,76.5593,-68.5285,180,-0.0129,-0.125,-0.022,Carex Pond,lake,1,headwater,2,1910,Raven,Raven,37389,8133,2401,3,1,0
2018_148_DLaunchLake_1,11/07/2018,76.5105,-68.88,86,-0.0193,-0.15,0.004,D Launch Lake,lake,1,vale,4,17058,Sioraq,South River,304542,14492,819,1,0,0
2018_200_DLaunchLake_07.08.18,07/08/2018,76.5105,-68.88,86,-0.0178,-0.141,0.001,D Launch Lake,lake,1,vale,4,17058,Sioraq,South River,304542,14492,819,2,0,0
2019_069_DLaunncLake_22072019,22/07/2019,76.5105,-68.88,86,-0.0174,-0.14,-0.001,D Launch Lake,lake,1,vale,4,17058,Sioraq,South River,304542,14492,819,3,0,0
2018_079_DiabaseDepthLake_1,01/07/2018,76.571,-68.6848,197,-0.0192,-0.15,0.004,Diabase Depth Lake,lake,1,downstream,3,21090,Qoorunnapaluk,Horseshoe,3716069,11958,1370,1,1,0
2018_281_DiabaseDepthLake_1,22/08/2018,76.571,-68.6848,197,-0.0178,-0.142,0,Diabase Depth Lake,lake,1,downstream,3,21090,Qoorunnapaluk,Horseshoe,3716069,11958,1370,2,1,0
2019_101_DiabaseDepthLake_25072019,25/07/2019,76.571,-68.6848,197,-0.0176,-0.144,-0.003,Diabase Depth Lake,lake,1,downstream,3,21090,Qoorunnapaluk,Horseshoe,3716069,11958,1370,3,1,0
2018_062_DirtyIceLake_1,29/06/2018,76.5636,-68.5407,185,-0.0172,-0.139,-0.001,Dirty Ice Lake,lake,1,headwater,2,6651,Raven,Raven,324914,8664,2122,1,1,0
2018_273_DirtyIceLake_1,23/08/2018,76.5636,-68.5407,185,-0.0155,-0.131,-0.007,Dirty Ice Lake,lake,1,headwater,2,6651,Raven,Raven,324914,8664,2122,2,1,0
2019_037_DirtyIceLake_19072019,19/07/2019,76.5636,-68.5407,185,-0.0146,-0.13,-0.013,Dirty Ice Lake,lake,1,headwater,2,6651,Raven,Raven,324914,8664,2122,3,1,0
2018_186_DundasPond_1,17/07/2018,76.572,-68.8195,22,-0.0126,-0.114,-0.013,Dundas Pond,lake,1,endorheic,1,1437,Other,Other,32203,14996,68,1,0,0
2019_202_DundasPond_30072019,30/07/2019,76.572,-68.8195,22,-0.0096,-0.099,-0.022,Dundas Pond,lake,1,endorheic,1,1437,Other,Other,32203,14996,68,3,0,0
2018_116_FakePumiceLake_1,06/07/2018,76.5438,-68.4282,156,-0.0164,-0.136,-0.005,Fake Pumice Lake,lake,1,headwater,2,17407,Amitsuarsuk,Potato,96022,5076,3316,1,1,0
2019_089_FakePumiceLake_23072019,23/07/2019,76.5438,-68.4282,156,-0.0154,-0.132,-0.009,Fake Pumice Lake,lake,1,headwater,2,17407,Amitsuarsuk,Potato,96022,5076,3316,3,1,0
2018_169_FantailLake_1,16/07/2018,76.4714,-68.3678,287,-0.0213,-0.161,0.009,Fantail Lake,lake,1,headwater,2,11788,Sioraq,South River,116905,2708,11216,1,0,0
2019_042_FogbreakLake_21072019,21/07/2019,76.4199,-69.1142,175,-0.0199,-0.149,0.01,Fogbreak Lake,lake,1,vale,4,6523,Narsaarsuk,Narsaarsuk,62856,16934,5232,3,0,0
2018_094_GravelPileLake_1,05/07/2018,76.5451,-68.4555,134,-0.018,-0.145,-0.001,Gravel Pit Lake,lake,1,altered,6,12971,Amitsuarsuk,Potato,481074,5677,3373,1,1,0
2019_066_GravelPitLake_22072019,22/07/2019,76.5451,-68.4555,134,-0.0177,-0.145,-0.003,Gravel Pit Lake,lake,1,altered,6,12971,Amitsuarsuk,Potato,481074,5677,3373,3,1,0
2018_164_HalfSnowLake_16.07.18,16/07/2018,76.4968,-68.4402,228,-0.0232,-0.177,0.009,Half Snow Lake,lake,1,headwater,2,11329,Pituffik,North River,270973,3207,8470,1,0,0
2019_145_HalfSnowLake_27072019,27/07/2019,76.4968,-68.4402,228,-0.0206,-0.161,0.004,Half Snow Lake,lake,1,headwater,2,11329,Pituffik,North River,270973,3207,8470,3,0,0
2018_068_LakeBracket_1,29/06/2018,76.5658,-68.6361,207,-0.0179,-0.142,0.001,Horseshoe Lake,lake,1,headwater,2,216564,Qoorunnapaluk,Horseshoe,1347592,10303,2206,1,1,0
2019_108_HorseshoeLake_25072019,25/07/2019,76.5658,-68.6361,207,-0.0174,-0.14,-0.001,Horseshoe Lake,lake,1,headwater,2,216564,Qoorunnapaluk,Horseshoe,1347592,10303,2206,3,1,0
2019_169_OldMineIceWallIceCaveLake_27072019,27/07/2019,76.4236,-68.2737,495,-0.0201,-0.151,0.01,Ice Cavern Proglacial Lake,lake,1,proglacial,5,75772,Sioraq,South River,2018351,0,16517,3,0,0
2018_131_IceRampBaseMeltPool_1,07/07/2018,76.4111,-68.2997,500,-0.0229,-0.168,0.015,Ice Ramp Base Pond,lake,1,proglacial,5,1126,Sioraq,South River,2018351,0,17767,,0,0
2019_009_IceRampPool_17072019,17/07/2019,76.4111,-68.2997,500,-0.0202,-0.151,0.011,Ice Ramp Base Pond,lake,1,proglacial,5,1126,Sioraq,South River,2018351,0,17767,,0,0
2019_019_IceRampPool_18072019,18/07/2019,76.4111,-68.2997,500,-0.0202,-0.151,0.011,Ice Ramp Base Pond,lake,1,proglacial,5,1126,Sioraq,South River,2018351,0,17767,3,0,0
2019_159_TutoIcebergLake_27072019,27/07/2019,76.4177,-68.2812,494,-0.0202,-0.151,0.011,Iceberg Proglacial Lake,lake,1,proglacial,5,240047,Sioraq,South River,2018351,0,17000,3,0,0
2018_133_IceRampProglacialLake_1,07/07/2018,76.4129,-68.2932,494,-0.0201,-0.15,0.011,Interramp Proglacial Lake,lake,1,proglacial,5,39673,Sioraq,South River,2018351,0,17767,1,0,0
2019_011_IceRampNorthMeltPond_17072019,17/07/2019,76.4129,-68.2932,494,-0.0201,-0.151,0.01,Interramp Proglacial Lake,lake,1,proglacial,5,39673,Sioraq,South River,2018351,0,17767,,0,0
