date,tmax,tmin,tavg,tdew,wind_pk_dir,wind_pk_sp,prcp,prcp_snow,day,mo,yr
01/01/2000,-5,-14,-10,-12,160,34,0,0,1,1,2000
02/01/2000,-14,-26,-20,-21,150,34,0,0,2,1,2000
03/01/2000,-20,-26,-23,-24,140,21,0,0,3,1,2000
04/01/2000,-20,-27,-24,-24,100,12,0,0,4,1,2000
05/01/2000,-23,-29,-26,-28,100,13,0,0,5,1,2000
06/01/2000,-18,-28,-23,-26,140,17,0,0,6,1,2000
07/01/2000,-19,-27,-23,-27,110,13,0,0,7,1,2000
08/01/2000,-21,-26,-24,-23,100,12,1.5,15,8,1,2000
09/01/2000,-23,-30,-27,-28,150,25,0.5,5,9,1,2000
10/01/2000,-22,-32,-27,-27,150,27,0,0,10,1,2000
11/01/2000,-21,-31,-26,-30,110,16,0,0,11,1,2000
12/01/2000,-11,-26,-19,-21,90,40,0.8,10,12,1,2000
13/01/2000,-18,-25,-22,-23,160,49,0,0,13,1,2000
14/01/2000,-28,-31,-30,-30,100,13,0,0,14,1,2000
15/01/2000,-22,-30,-26,-28,100,12,0,0,15,1,2000
16/01/2000,-16,-22,-19,-22,100,38,0.3,3,16,1,2000
17/01/2000,-21,-26,-24,-25,140,39,0.3,3,17,1,2000
18/01/2000,-24,-33,-29,-30,140,32,0,0,18,1,2000
19/01/2000,-33,-36,-35,-35,100,13,0,0,19,1,2000
20/01/2000,-24,-35,-30,-35,100,11,0,0,20,1,2000
21/01/2000,-16,-25,-21,-22,160,22,1.8,23,21,1,2000
22/01/2000,-15,-23,-19,-19,130,29,3,30,22,1,2000
23/01/2000,-17,-26,-22,-21,70,26,1.5,15,23,1,2000
24/01/2000,-9,-19,-14,-16,130,46,1,10,24,1,2000
25/01/2000,-19,-24,-22,-22,150,21,1,10,25,1,2000
26/01/2000,-25,-33,-29,-31,90,11,1,10,26,1,2000
27/01/2000,-30,-34,-32,-33,100,13,0,0,27,1,2000
28/01/2000,-30,-35,-33,-32,110,10,0,0,28,1,2000
29/01/2000,-30,-36,-33,-33,100,12,0,0,29,1,2000
30/01/2000,-31,-35,-33,-34,110,14,0,0,30,1,2000
31/01/2000,-28,-34,-31,-35,100,15,0,0,31,1,2000
01/02/2000,-22,-33,-28,-31,170,17,0,0,1,2,2000
02/02/2000,-13,-25,-19,-22,140,49,0,0,2,2,2000
03/02/2000,-16,-19,-18,-18,140,65,0.8,8,3,2,2000
04/02/2000,-17,-25,-21,-20,90,12,3.6,36,4,2,2000
05/02/2000,-21,-25,-23,-24,100,14,0,0,5,2,2000
06/02/2000,-18,-27,-23,-22,100,15,0.5,5,6,2,2000
07/02/2000,-20,-28,-24,-24,90,16,0,0,7,2,2000
08/02/2000,-21,-28,-25,-26,100,15,0,0,8,2,2000
09/02/2000,-16,-29,-23,-24,70,14,0,0,9,2,2000
10/02/2000,-19,-24,-22,-22,100,14,0,0,10,2,2000
11/02/2000,-9,-20,-15,-19,100,17,0,0,11,2,2000
12/02/2000,-10,-21,-16,-17,150,29,0.5,5,12,2,2000
13/02/2000,-17,-28,-23,-25,170,17,1.5,18,13,2,2000
14/02/2000,-21,-29,-25,-28,140,19,0,0,14,2,2000
15/02/2000,-20,-28,-24,-24,150,26,0.5,5,15,2,2000
16/02/2000,-24,-30,-27,-29,110,12,0,0,16,2,2000
17/02/2000,-22,-30,-26,-28,100,13,0,0,17,2,2000
18/02/2000,-7,-24,-16,-18,90,40,0,0,18,2,2000
19/02/2000,-6,-20,-13,-15,100,17,0,0,19,2,2000
20/02/2000,2,-8,-3,-9,120,41,0,0,20,2,2000
21/02/2000,-1,-8,-5,-9,50,31,0,0,21,2,2000
22/02/2000,-5,-14,-10,-13,20,46,0,0,22,2,2000
23/02/2000,-12,-18,-15,-19,110,14,0,0,23,2,2000
24/02/2000,-16,-24,-20,-20,100,13,0,0,24,2,2000
25/02/2000,-20,-25,-23,-23,100,12,0,0,25,2,2000
26/02/2000,-17,-26,-22,-23,150,15,0,0,26,2,2000
27/02/2000,-22,-28,-25,-26,100,12,0,0,27,2,2000
28/02/2000,-15,-24,-20,-23,160,22,0,0,28,2,2000
29/02/2000,-16,-23,-20,-21,100,11,1.8,18,29,2,2000
01/03/2000,-14,-27,-21,-22,90,12,0,0,1,3,2000
02/03/2000,-19,-29,-24,-24,100,13,0.3,3,2,3,2000
03/03/2000,-24,-31,-28,-28,140,14,0,0,3,3,2000
04/03/2000,-24,-31,-28,-29,70,13,0,0,4,3,2000
05/03/2000,-27,-32,-30,-32,100,14,0,0,5,3,2000
06/03/2000,-30,-33,-32,-33,100,14,0,0,6,3,2000
07/03/2000,-28,-34,-31,-34,100,14,0,0,7,3,2000
08/03/2000,-23,-30,-27,-30,100,14,0,0,8,3,2000
09/03/2000,-20,-29,-25,-29,60,15,0,0,9,3,2000
10/03/2000,-23,-29,-26,-29,100,15,0,0,10,3,2000
11/03/2000,-16,-28,-22,-26,100,15,0,0,11,3,2000
12/03/2000,-16,-21,-19,-20,170,21,0.8,8,12,3,2000
13/03/2000,-20,-29,-25,-25,100,13,1,10,13,3,2000
14/03/2000,-21,-28,-25,-27,100,13,0,0,14,3,2000
15/03/2000,-20,-29,-25,-27,80,13,0,0,15,3,2000
16/03/2000,-25,-31,-28,-30,100,12,0,0,16,3,2000
17/03/2000,-26,-32,-29,-29,100,11,0,0,17,3,2000
18/03/2000,-22,-31,-27,-27,150,28,0,0,18,3,2000
19/03/2000,-21,-28,-25,-25,150,27,0.3,3,19,3,2000
20/03/2000,-19,-24,-22,-23,150,30,0.8,8,20,3,2000
21/03/2000,-16,-25,-21,-21,140,46,0,0,21,3,2000
22/03/2000,-12,-17,-15,-20,60,48,0,0,22,3,2000
23/03/2000,-10,-13,-12,-17,60,28,0,0,23,3,2000
24/03/2000,-10,-19,-15,-17,150,20,0,0,24,3,2000
25/03/2000,-13,-21,-17,-18,110,12,0,0,25,3,2000
26/03/2000,-13,-21,-17,-16,110,12,0.5,5,26,3,2000
27/03/2000,-17,-23,-20,-20,100,11,0,0,27,3,2000
28/03/2000,-14,-24,-19,-19,90,15,0.8,8,28,3,2000
29/03/2000,-10,-16,-13,-14,90,16,1.3,13,29,3,2000
30/03/2000,-7,-10,-9,-10,140,53,0.5,5,30,3,2000
31/03/2000,-4,-7,-6,-9,140,48,0,0,31,3,2000
01/04/2000,-6,-12,-9,-11,100,12,0,0,1,4,2000
02/04/2000,-8,-15,-12,-13,100,12,0,0,2,4,2000
03/04/2000,-7,-17,-12,-13,90,12,0,0,3,4,2000
04/04/2000,-8,-17,-13,-13,110,13,0.5,5,4,4,2000
05/04/2000,-8,-13,-11,-12,140,28,1.5,15,5,4,2000
06/04/2000,-12,-18,-15,-15,110,9,2.5,23,6,4,2000
07/04/2000,-15,-21,-18,-18,110,11,0.3,3,7,4,2000
08/04/2000,-14,-21,-18,-18,100,12,0,0,8,4,2000
09/04/2000,-8,-20,-14,-15,140,34,0,0,9,4,2000
10/04/2000,-9,-13,-11,-12,100,39,0,0,10,4,2000
11/04/2000,-9,-18,-14,-15,100,16,1,38,11,4,2000
12/04/2000,-2,-12,-7,-8,120,30,1.5,48,12,4,2000
13/04/2000,-11,-18,-15,-15,140,34,0,0,13,4,2000
14/04/2000,-12,-20,-16,-16,130,26,0,0,14,4,2000
15/04/2000,-15,-21,-18,-19,100,11,0.3,0,15,4,2000
16/04/2000,-13,-23,-18,-20,80,10,0,0,16,4,2000
17/04/2000,-10,-18,-14,-17,70,9,0,0,17,4,2000
18/04/2000,-7,-17,-12,-13,110,10,0.5,5,18,4,2000
19/04/2000,1,-10,-5,-7,140,41,1,13,19,4,2000
20/04/2000,-6,-12,-9,-11,150,31,0,0,20,4,2000
21/04/2000,-7,-12,-10,-11,90,9,0,0,21,4,2000
22/04/2000,-1,-11,-6,-6,40,19,2.5,25,22,4,2000
23/04/2000,0,-3,-2,-4,140,19,0.3,3,23,4,2000
24/04/2000,1,-3,-1,-3,140,22,1.5,15,24,4,2000
25/04/2000,-3,-5,-4,-4,290,17,2.3,20,25,4,2000
26/04/2000,-5,-11,-8,-9,100,12,0,0,26,4,2000
27/04/2000,-4,-12,-8,-8,160,29,0,0,27,4,2000
28/04/2000,-6,-13,-10,-11,170,24,0,0,28,4,2000
29/04/2000,-7,-15,-11,-12,160,17,0,0,29,4,2000
30/04/2000,-8,-14,-11,-11,270,13,0,0,30,4,2000
01/05/2000,-9,-17,-13,-12,100,10,1,15,1,5,2000
02/05/2000,-9,-15,-12,-12,270,10,0.3,3,2,5,2000
03/05/2000,-7,-16,-12,-12,90,10,0,0,3,5,2000
04/05/2000,-6,-12,-9,-11,150,23,0.5,5,4,5,2000
05/05/2000,-4,-14,-9,-12,270,10,0,0,5,5,2000
06/05/2000,-6,-12,-9,-11,160,13,0,0,6,5,2000
07/05/2000,-7,-12,-10,-13,130,13,0,0,7,5,2000
08/05/2000,-6,-10,-8,-10,150,31,0,0,8,5,2000
09/05/2000,-6,-9,-8,-11,140,23,0,0,9,5,2000
10/05/2000,-7,-11,-9,-11,270,12,0,0,10,5,2000
11/05/2000,-3,-13,-8,-13,160,26,0,0,11,5,2000
12/05/2000,-4,-10,-7,-10,140,14,0,0,12,5,2000
13/05/2000,-3,-9,-6,-7,120,12,0,0,13,5,2000
14/05/2000,-3,-9,-6,-8,150,17,0,0,14,5,2000
15/05/2000,-3,-6,-5,-8,160,17,0,0,15,5,2000
16/05/2000,-4,-9,-7,-8,290,11,0,0,16,5,2000
17/05/2000,-2,-7,-5,-7,210,15,0,0,17,5,2000
18/05/2000,3,-6,-2,-7,120,9,0,0,18,5,2000
19/05/2000,3,-4,-1,-6,90,32,0,0,19,5,2000
20/05/2000,-1,-4,-3,-4,260,17,0,0,20,5,2000
21/05/2000,-2,-7,-5,-6,210,20,0.5,5,21,5,2000
22/05/2000,-6,-9,-8,-11,140,19,0,0,22,5,2000
23/05/2000,-6,-9,-8,-11,160,19,0,0,23,5,2000
24/05/2000,-4,-9,-7,-12,230,12,0,0,24,5,2000
25/05/2000,0,-6,-3,-9,320,14,0,0,25,5,2000
26/05/2000,2,-1,1,-4,70,55,0,0,26,5,2000
27/05/2000,-1,-4,-3,-7,200,19,0.3,3,27,5,2000
28/05/2000,-3,-5,-4,-7,200,15,1.3,13,28,5,2000
29/05/2000,-4,-7,-6,-7,260,15,1,15,29,5,2000
30/05/2000,-2,-6,-4,-10,290,11,0,0,30,5,2000
31/05/2000,0,-6,-3,-10,230,14,0,0,31,5,2000
01/06/2000,-2,-6,-4,-9,290,10,0,0,1,6,2000
02/06/2000,0,-4,-2,-10,150,28,0,0,2,6,2000
03/06/2000,-1,-5,-3,-9,160,28,0,0,3,6,2000
04/06/2000,0,-4,-2,-9,300,11,0,0,4,6,2000
05/06/2000,2,-2,0,-6,260,11,0,0,5,6,2000
06/06/2000,7,-1,3,-3,150,20,0,0,6,6,2000
07/06/2000,5,1,3,0,280,13,0,0,7,6,2000
08/06/2000,6,0,3,1,230,15,0,0,8,6,2000
09/06/2000,9,3,6,2,270,10,0,0,9,6,2000
10/06/2000,9,3,6,1,270,12,0,0,10,6,2000
11/06/2000,8,3,6,2,270,15,0,0,11,6,2000
12/06/2000,6,3,5,2,280,17,0,0,12,6,2000
13/06/2000,8,3,6,-4,60,27,0,0,13,6,2000
14/06/2000,6,1,4,-1,260,17,0,0,14,6,2000
15/06/2000,3,-1,1,1,270,14,0,0,15,6,2000
16/06/2000,6,-1,3,-1,200,12,0,0,16,6,2000
17/06/2000,9,4,7,0,150,17,0,0,17,6,2000
18/06/2000,8,3,6,0,270,15,0,0,18,6,2000
19/06/2000,13,3,8,2,170,21,0,0,19,6,2000
20/06/2000,8,2,5,3,150,20,0,0,20,6,2000
21/06/2000,4,-1,2,1,280,14,0,0,21,6,2000
22/06/2000,7,0,4,2,270,13,0,0,22,6,2000
23/06/2000,10,5,8,2,270,12,0,0,23,6,2000
24/06/2000,11,6,9,2,270,13,0,0,24,6,2000
25/06/2000,10,6,8,3,280,12,0,0,25,6,2000
26/06/2000,10,8,9,2,280,14,0,0,26,6,2000
27/06/2000,10,8,9,4,270,14,0,0,27,6,2000
28/06/2000,10,7,9,5,280,11,0,0,28,6,2000
29/06/2000,11,7,9,4,270,11,0,0,29,6,2000
30/06/2000,14,6,10,5,60,11,0,0,30,6,2000
01/07/2000,16,11,14,1,90,25,0,0,1,7,2000
02/07/2000,11,4,8,5,140,19,0,0,2,7,2000
03/07/2000,12,4,8,6,270,15,1.3,0,3,7,2000
04/07/2000,14,4,9,4,150,32,0.5,0,4,7,2000
05/07/2000,10,8,9,7,150,34,10.2,0,5,7,2000
06/07/2000,14,9,12,6,150,30,1,0,6,7,2000
07/07/2000,12,6,9,6,150,29,0.5,0,7,7,2000
08/07/2000,7,5,6,6,330,5,0.8,0,8,7,2000
09/07/2000,8,5,7,6,260,13,0,0,9,7,2000
10/07/2000,8,5,7,4,260,19,0.5,0,10,7,2000
11/07/2000,6,2,4,3,230,19,0.8,0,11,7,2000
12/07/2000,7,3,5,1,140,22,4.1,0,12,7,2000
13/07/2000,6,4,5,2,170,16,0,0,13,7,2000
14/07/2000,5,4,5,2,280,13,0,0,14,7,2000
15/07/2000,8,5,7,1,140,20,0,0,15,7,2000
16/07/2000,10,5,8,2,350,15,0,0,16,7,2000
17/07/2000,10,8,9,0,150,23,0,0,17,7,2000
18/07/2000,8,6,7,3,140,29,0,0,18,7,2000
19/07/2000,9,6,8,3,100,30,3.3,0,19,7,2000
20/07/2000,13,6,10,0,30,20,0,0,20,7,2000
21/07/2000,9,6,8,0,160,21,0,0,21,7,2000
22/07/2000,9,5,7,1,160,24,0,0,22,7,2000
23/07/2000,8,5,7,2,260,13,0,0,23,7,2000
24/07/2000,10,6,8,3,280,13,0,0,24,7,2000
25/07/2000,8,6,7,4,140,22,0,0,25,7,2000
26/07/2000,8,6,7,3,170,13,0,0,26,7,2000
27/07/2000,9,6,8,5,270,11,0,0,27,7,2000
28/07/2000,16,7,12,-1,80,24,0,0,28,7,2000
29/07/2000,11,6,9,4,70,21,0,0,29,7,2000
30/07/2000,9,5,7,5,270,16,0,0,30,7,2000
31/07/2000,12,5,9,5,160,31,0.3,0,31,7,2000
01/08/2000,8,4,6,4,150,26,0,0,1,8,2000
02/08/2000,12,3,8,3,260,12,0,0,2,8,2000
03/08/2000,8,6,7,3,160,30,0,0,3,8,2000
04/08/2000,9,6,8,3,130,26,0,0,4,8,2000
05/08/2000,9,5,7,3,90,18,0,0,5,8,2000
06/08/2000,8,5,7,3,250,14,0,0,6,8,2000
07/08/2000,8,5,7,1,150,22,0,0,7,8,2000
08/08/2000,8,6,7,2,140,20,0,0,8,8,2000
09/08/2000,12,5,9,2,130,46,0,0,9,8,2000
10/08/2000,6,4,5,4,140,22,0.5,0,10,8,2000
11/08/2000,4,1,3,-2,280,24,2.8,0,11,8,2000
12/08/2000,3,-1,1,-1,210,15,1.5,15,12,8,2000
13/08/2000,2,-1,1,-2,240,31,1.3,13,13,8,2000
14/08/2000,5,1,3,-2,150,20,0,0,14,8,2000
15/08/2000,9,1,5,0,110,21,0.5,0,15,8,2000
16/08/2000,9,6,8,4,80,29,0.5,0,16,8,2000
17/08/2000,8,4,6,3,140,28,1.3,0,17,8,2000
18/08/2000,8,4,6,3,170,23,0,0,18,8,2000
19/08/2000,5,2,4,3,240,15,0,0,19,8,2000
20/08/2000,4,1,3,-1,310,17,0,0,20,8,2000
21/08/2000,7,-2,3,0,140,29,0,0,21,8,2000
22/08/2000,8,5,7,3,50,38,7.6,0,22,8,2000
23/08/2000,6,2,4,3,150,22,9.9,0,23,8,2000
24/08/2000,4,1,3,1,250,13,0,0,24,8,2000
25/08/2000,5,1,3,0,160,29,0,0,25,8,2000
26/08/2000,4,2,3,0,150,28,0,0,26,8,2000
27/08/2000,4,0,2,0,160,16,3.6,15,27,8,2000
28/08/2000,6,-7,-1,1,80,28,4.1,10,28,8,2000
29/08/2000,6,2,4,2,100,24,1.8,0,29,8,2000
30/08/2000,5,0,3,0,280,10,0,0,30,8,2000
31/08/2000,7,-2,3,0,100,31,0.8,0,31,8,2000
01/09/2000,8,4,6,2,80,34,0.5,0,1,9,2000
02/09/2000,7,0,4,1,150,14,0,0,2,9,2000
03/09/2000,3,-2,1,1,270,11,0,0,3,9,2000
04/09/2000,4,-2,1,-1,260,11,0,0,4,9,2000
05/09/2000,1,-1,0,0,90,9,0,0,5,9,2000
06/09/2000,0,-1,-1,-1,100,9,0,0,6,9,2000
07/09/2000,3,0,2,-2,130,23,0,0,7,9,2000
08/09/2000,5,1,3,-1,60,26,0.3,3,8,9,2000
09/09/2000,4,2,3,2,70,24,5.1,5,9,9,2000
10/09/2000,3,1,2,2,250,9,0,0,10,9,2000
11/09/2000,2,-2,0,0,70,10,0,0,11,9,2000
12/09/2000,0,-2,-1,-1,90,10,0.3,0,12,9,2000
13/09/2000,1,-3,-1,-4,150,14,0,0,13,9,2000
14/09/2000,2,-4,-1,-7,50,21,0,0,14,9,2000
15/09/2000,0,-4,-2,-5,270,20,0,0,15,9,2000
16/09/2000,0,-4,-2,-4,130,31,1,20,16,9,2000
17/09/2000,2,0,1,-2,90,32,0,0,17,9,2000
18/09/2000,1,-2,-1,-2,100,17,6.1,61,18,9,2000
19/09/2000,0,-3,-2,-2,260,20,5.6,56,19,9,2000
20/09/2000,-2,-16,-9,-9,280,21,0,0,20,9,2000
21/09/2000,-9,-16,-13,-13,100,17,0,0,21,9,2000
22/09/2000,-3,-12,-8,-7,150,26,0,0,22,9,2000
23/09/2000,-6,-11,-9,-10,110,14,0,0,23,9,2000
24/09/2000,-1,-11,-6,-8,110,16,1.8,18,24,9,2000
25/09/2000,3,-7,-2,-2,110,18,0.8,8,25,9,2000
26/09/2000,1,-8,-4,-3,100,13,0,0,26,9,2000
27/09/2000,1,-4,-2,-1,80,9,0.5,3,27,9,2000
28/09/2000,4,-6,-1,-2,100,31,1.5,0,28,9,2000
29/09/2000,2,-7,-3,-4,130,24,0,0,29,9,2000
30/09/2000,-4,-10,-7,-8,90,13,0,0,30,9,2000
01/10/2000,-7,-12,-10,-11,90,14,0,0,1,10,2000
02/10/2000,-5,-11,-8,-8,90,14,0,0,2,10,2000
