site_name,d18O_inflow,d18O_inflow_sd,d2H_inflow,d2H_inflow_sd,dxs_inflow,dxs_inflow_sd,freeze_frac,freeze_frac_sd,thaw_frac,thaw_frac_sd
Angry Duck Lake,-0.0178,0.004,-0.1358,0.0311,0.0068,0.0446,0.245,0.188,0.755,0.188
D Launch Lake,-0.0212,0.006,-0.1615,0.0458,0.0084,0.0662,0.346,0.193,0.654,0.193
Diabase Depth Lake,-0.0206,0.004,-0.1565,0.031,0.0081,0.0443,0.319,0.187,0.681,0.187
Dirty Ice Lake,-0.0191,0.002,-0.1458,0.0169,0.0074,0.0233,0.267,0.182,0.733,0.182
Ice Ramp Base Pond,-0.0199,0.0118,-0.1516,0.0896,0.0078,0.1308,0.292,0.185,0.708,0.185
Lake Crescent,-0.0231,0.008,-0.1757,0.0605,0.0094,0.088,0.46,0.195,0.54,0.195
Lake Potato,-0.0235,0.008,-0.1784,0.0607,0.0094,0.0883,0.48,0.189,0.52,0.189
Lake Quattro,-0.02,0.004,-0.1524,0.031,0.0078,0.0445,0.291,0.181,0.709,0.181
Lake Tuto,-0.0319,0.0213,-0.2415,0.1609,0.0134,0.235,0.829,0.097,0.171,0.097
Loon Pond,-0.0206,0.004,-0.1563,0.0311,0.0081,0.0446,0.321,0.194,0.679,0.194
North Mountain View Lake,-0.0213,0.006,-0.1622,0.0459,0.0085,0.0663,0.359,0.19,0.641,0.19
Party House Lake,-0.0196,0.004,-0.1494,0.0312,0.0077,0.0452,0.283,0.183,0.717,0.183
Perched Lake,-0.0179,0.004,-0.136,0.0312,0.0068,0.0448,0.236,0.187,0.764,0.187
Power Lake,-0.0227,0.0079,-0.1726,0.0604,0.0091,0.0879,0.433,0.192,0.567,0.192
Secret Lake,-0.0195,0.002,-0.1485,0.0169,0.0076,0.0232,0.276,0.182,0.724,0.182
Serene Lake,-0.019,0.002,-0.1444,0.0169,0.0075,0.0233,0.263,0.183,0.737,0.183
The Tarn,-0.0195,0.002,-0.1485,0.017,0.0077,0.0234,0.274,0.179,0.726,0.179
Upper Lake Potato,-0.0202,0.004,-0.1536,0.0311,0.008,0.0447,0.303,0.185,0.697,0.185
Water Garden Lake,-0.0164,0.002,-0.1247,0.0171,0.0061,0.0234,0.232,0.211,0.768,0.211
Water Lake,-0.0209,0.004,-0.159,0.0314,0.0083,0.0451,0.327,0.181,0.673,0.181
